0 , Q0 , AP880420-0168 0 0.2015, run_name
0 , Q0 , AP880628-0037 1 0.1812, run_name
0 , Q0 , AP880628-0030 2 0.1797, run_name
0 , Q0 , AP880914-0117 3 0.1769, run_name
0 , Q0 , AP881019-0038 4 0.1742, run_name
0 , Q0 , AP880617-0036 5 0.1711, run_name
0 , Q0 , AP880617-0258 6 0.1701, run_name
0 , Q0 , AP880620-0014 7 0.1697, run_name
0 , Q0 , AP880725-0147 8 0.1678, run_name
0 , Q0 , AP880726-0009 9 0.1626, run_name
0 , Q0 , AP880627-0109 10 0.1615, run_name
0 , Q0 , AP880625-0128 11 0.1615, run_name
0 , Q0 , AP880615-0341 12 0.1612, run_name
0 , Q0 , AP880628-0119 13 0.1595, run_name
0 , Q0 , AP880628-0221 14 0.1582, run_name
0 , Q0 , AP881213-0121 15 0.1542, run_name
0 , Q0 , AP880219-0018 16 0.1488, run_name
0 , Q0 , AP880706-0251 17 0.1476, run_name
0 , Q0 , AP880804-0067 18 0.1405, run_name
0 , Q0 , AP880629-0155 19 0.1391, run_name
0 , Q0 , AP880606-0264 20 0.1385, run_name
0 , Q0 , AP880627-0017 21 0.1350, run_name
0 , Q0 , AP881104-0187 22 0.1344, run_name
0 , Q0 , AP880307-0081 23 0.1329, run_name
0 , Q0 , AP880511-0243 24 0.1303, run_name
0 , Q0 , AP880813-0077 25 0.1298, run_name
0 , Q0 , AP880628-0247 26 0.1265, run_name
0 , Q0 , AP880629-0211 27 0.1250, run_name
0 , Q0 , AP881219-0017 28 0.1246, run_name
0 , Q0 , AP880625-0094 29 0.1182, run_name
0 , Q0 , AP880817-0309 30 0.1149, run_name
0 , Q0 , AP880220-0117 31 0.1148, run_name
0 , Q0 , AP880625-0026 32 0.1100, run_name
0 , Q0 , AP880617-0159 33 0.1098, run_name
0 , Q0 , AP880520-0202 34 0.1089, run_name
0 , Q0 , AP880303-0037 35 0.1075, run_name
0 , Q0 , AP881222-0005 36 0.1072, run_name
0 , Q0 , AP880705-0032 37 0.1061, run_name
0 , Q0 , AP880709-0128 38 0.1053, run_name
0 , Q0 , AP880526-0292 39 0.1048, run_name
0 , Q0 , AP880917-0026 40 0.1044, run_name
0 , Q0 , AP880330-0040 41 0.1039, run_name
0 , Q0 , AP881004-0114 42 0.1026, run_name
0 , Q0 , AP880603-0311 43 0.1024, run_name
0 , Q0 , AP880528-0005 44 0.1021, run_name
0 , Q0 , AP881119-0103 45 0.1008, run_name
0 , Q0 , AP880802-0291 46 0.1006, run_name
0 , Q0 , AP880620-0023 47 0.1002, run_name
0 , Q0 , AP881217-0004 48 0.0998, run_name
0 , Q0 , AP880702-0100 49 0.0997, run_name
0 , Q0 , AP880503-0141 50 0.0972, run_name
0 , Q0 , AP880317-0039 51 0.0962, run_name
0 , Q0 , AP880902-0071 52 0.0954, run_name
0 , Q0 , AP880628-0005 53 0.0943, run_name
0 , Q0 , AP880827-0010 54 0.0924, run_name
0 , Q0 , AP881105-0002 55 0.0921, run_name
